79.36.415 I slot print_timing: id  0 | task 326 | prompt eval time =     955.40 ms /   444 tokens (    2.15 ms per token,   464.70 tokens per second)  [28160 cached]
79.36.415 I slot print_timing: id  0 | task 326 |        eval time =    2667.90 ms /   148 tokens (   18.03 ms per token,    55.50 tokens per second)
79.36.415 I slot print_timing: id  0 | task 326 | draft acceptance = 0.72662 (  101 accepted /   139 generated)
79.36.415 I slot print_timing: id  0 | task 326 | reasoning effort = medium
79.40.332 I slot print_timing: id  0 | task 327 | prompt eval time =    1080.80 ms /   569 tokens (    1.90 ms per token,   526.40 tokens per second)  [28416 cached]
79.40.332 I slot print_timing: id  0 | task 327 |        eval time =    2578.40 ms /   147 tokens (   17.54 ms per token,    57.00 tokens per second)
79.40.332 I slot print_timing: id  0 | task 327 | draft acceptance = 0.76119 (  102 accepted /   134 generated)
79.40.332 I slot print_timing: id  0 | task 327 | reasoning effort = medium
80.36.726 I slot print_timing: id  0 | task 328 | prompt eval time =    2832.50 ms /  1764 tokens (    1.61 ms per token,   622.80 tokens per second)  [28928 cached]
80.36.726 I slot print_timing: id  0 | task 328 |        eval time =   53422.40 ms /  2707 tokens (   19.73 ms per token,    50.70 tokens per second)
80.36.726 I slot print_timing: id  0 | task 328 | draft acceptance = 0.63218 ( 1772 accepted /  2803 generated)
80.36.726 I slot print_timing: id  0 | task 328 | reasoning effort = medium
80.46.326 I slot print_timing: id  0 | task 329 | prompt eval time =    5470.20 ms /  3444 tokens (    1.59 ms per token,   629.60 tokens per second)  [30464 cached]
80.46.326 I slot print_timing: id  0 | task 329 |        eval time =    3301.10 ms /   186 tokens (   17.75 ms per token,    56.30 tokens per second)
80.46.326 I slot print_timing: id  0 | task 329 | draft acceptance = 0.76786 (  129 accepted /   168 generated)
80.46.326 I slot print_timing: id  0 | task 329 | reasoning effort = medium
80.52.624 I slot print_timing: id  0 | task 330 | prompt eval time =     903.40 ms /   371 tokens (    2.44 ms per token,   410.70 tokens per second)  [33792 cached]
80.52.624 I slot print_timing: id  0 | task 330 |        eval time =    4676.80 ms /   314 tokens (   14.89 ms per token,    67.10 tokens per second)
80.52.624 I slot print_timing: id  0 | task 330 | draft acceptance = 0.97083 (  233 accepted /   240 generated)
80.52.624 I slot print_timing: id  0 | task 330 | reasoning effort = medium
