88.29.519 I slot print_timing: id  0 | task 362 | prompt eval time =     823.10 ms /   347 tokens (    2.37 ms per token,   421.60 tokens per second)  [29696 cached]
88.29.519 I slot print_timing: id  0 | task 362 |        eval time =    2159.50 ms /   132 tokens (   16.36 ms per token,    61.10 tokens per second)
88.29.519 I slot print_timing: id  0 | task 362 | draft acceptance = 0.84685 (   94 accepted /   111 generated)
88.29.519 I slot print_timing: id  0 | task 362 | reasoning effort = medium
88.33.463 I slot print_timing: id  0 | task 363 | prompt eval time =    1028.10 ms /   456 tokens (    2.25 ms per token,   443.60 tokens per second)  [29952 cached]
88.33.463 I slot print_timing: id  0 | task 363 |        eval time =    2645.10 ms /   174 tokens (   15.20 ms per token,    65.80 tokens per second)
88.33.463 I slot print_timing: id  0 | task 363 | draft acceptance = 0.94815 (  128 accepted /   135 generated)
88.33.463 I slot print_timing: id  0 | task 363 | reasoning effort = medium
88.42.580 I slot print_timing: id  0 | task 364 | prompt eval time =     953.00 ms /   431 tokens (    2.21 ms per token,   452.20 tokens per second)  [30208 cached]
88.42.580 I slot print_timing: id  0 | task 364 |        eval time =    8027.60 ms /   535 tokens (   15.00 ms per token,    66.60 tokens per second)
88.42.580 I slot print_timing: id  0 | task 364 | draft acceptance = 0.93587 (  394 accepted /   421 generated)
88.42.580 I slot print_timing: id  0 | task 364 | reasoning effort = medium
88.49.296 I slot print_timing: id  0 | task 365 | prompt eval time =    1414.30 ms /   789 tokens (    1.79 ms per token,   557.90 tokens per second)  [30464 cached]
88.49.296 I slot print_timing: id  0 | task 365 |        eval time =    5147.70 ms /   330 tokens (   15.60 ms per token,    64.10 tokens per second)
88.49.296 I slot print_timing: id  0 | task 365 | draft acceptance = 0.88889 (  240 accepted /   270 generated)
88.49.296 I slot print_timing: id  0 | task 365 | reasoning effort = medium
88.51.716 I slot print_timing: id  0 | task 366 | prompt eval time =     951.00 ms /   402 tokens (    2.37 ms per token,   422.70 tokens per second)  [31232 cached]
88.51.716 I slot print_timing: id  0 | task 366 |        eval time =    1321.20 ms /    83 tokens (   15.92 ms per token,    62.80 tokens per second)
88.51.716 I slot print_timing: id  0 | task 366 | draft acceptance = 0.86957 (   60 accepted /    69 generated)
88.51.716 I slot print_timing: id  0 | task 366 | reasoning effort = medium
88.54.291 I slot print_timing: id  0 | task 367 | prompt eval time =     695.30 ms /   288 tokens (    2.41 ms per token,   414.20 tokens per second)  [31488 cached]
88.54.291 I slot print_timing: id  0 | task 367 |        eval time =    1214.80 ms /    79 tokens (   15.38 ms per token,    65.00 tokens per second)
88.54.291 I slot print_timing: id  0 | task 367 | draft acceptance = 0.95082 (   58 accepted /    61 generated)
88.54.291 I slot print_timing: id  0 | task 367 | reasoning effort = medium
89.06.293 I slot print_timing: id  0 | task 368 | prompt eval time =    2360.50 ms /  1403 tokens (    1.68 ms per token,   594.40 tokens per second)  [31744 cached]
89.06.293 I slot print_timing: id  0 | task 368 |        eval time =    9495.70 ms /   541 tokens (   17.55 ms per token,    57.00 tokens per second)
89.06.293 I slot print_timing: id  0 | task 368 | draft acceptance = 0.76626 (  377 accepted /   492 generated)
89.06.293 I slot print_timing: id  0 | task 368 | reasoning effort = medium
89.13.007 I slot print_timing: id  0 | task 369 | prompt eval time =    1554.20 ms /   841 tokens (    1.85 ms per token,   541.10 tokens per second)  [33024 cached]
89.13.007 I slot print_timing: id  0 | task 369 |        eval time =    4857.70 ms /   309 tokens (   15.72 ms per token,    63.60 tokens per second)
89.13.007 I slot print_timing: id  0 | task 369 | draft acceptance = 0.90361 (  225 accepted /   249 generated)
89.13.007 I slot print_timing: id  0 | task 369 | reasoning effort = medium
89.17.531 I slot print_timing: id  0 | task 370 | prompt eval time =    1346.20 ms /   682 tokens (    1.97 ms per token,   506.60 tokens per second)  [33792 cached]
89.17.531 I slot print_timing: id  0 | task 370 |        eval time =    2781.80 ms /   165 tokens (   16.86 ms per token,    59.30 tokens per second)
89.17.531 I slot print_timing: id  0 | task 370 | draft acceptance = 0.81818 (  117 accepted /   143 generated)
89.17.531 I slot print_timing: id  0 | task 370 | reasoning effort = medium
89.39.711 I slot print_timing: id  0 | task 371 | prompt eval time =     982.70 ms /   395 tokens (    2.49 ms per token,   402.00 tokens per second)  [34304 cached]
89.39.711 I slot print_timing: id  0 | task 371 |        eval time =   20540.10 ms /  1190 tokens (   17.26 ms per token,    57.90 tokens per second)
