100.38.813 I slot print_timing: id  0 | task 409 | prompt eval time =    1818.20 ms /   942 tokens (    1.93 ms per token,   518.10 tokens per second)  [38912 cached]
100.38.813 I slot print_timing: id  0 | task 409 |        eval time =   33264.00 ms /  1749 tokens (   19.02 ms per token,    52.60 tokens per second)
100.38.813 I slot print_timing: id  0 | task 409 | draft acceptance = 0.70261 ( 1186 accepted /  1688 generated)
100.38.813 I slot print_timing: id  0 | task 409 | reasoning effort = medium
101.05.542 I slot print_timing: id  0 | task 411 | prompt eval time =    1478.10 ms /  1006 tokens (    1.47 ms per token,   680.60 tokens per second)
101.05.542 I slot print_timing: id  0 | task 411 |        eval time =   22981.10 ms /  1337 tokens (   17.19 ms per token,    58.20 tokens per second)
101.05.542 I slot print_timing: id  0 | task 411 | draft acceptance = 0.67879 (  896 accepted /  1320 generated)
101.05.542 I slot print_timing: id  0 | task 411 | reasoning effort = xhigh
101.39.628 I slot print_timing: id  0 | task 411 | prompt eval time =   27188.40 ms / 21309 tokens (    1.28 ms per token,   783.80 tokens per second)
101.39.628 I slot print_timing: id  0 | task 411 |        eval time =    6890.10 ms /   429 tokens (   16.06 ms per token,    62.30 tokens per second)
101.39.628 I slot print_timing: id  0 | task 411 | draft acceptance = 0.83152 (  306 accepted /   368 generated)
101.39.628 I slot print_timing: id  0 | task 411 | reasoning effort = medium
101.46.016 I slot print_timing: id  0 | task 412 | prompt eval time =    1660.40 ms /   977 tokens (    1.70 ms per token,   588.40 tokens per second)  [21248 cached]
101.46.016 I slot print_timing: id  0 | task 412 |        eval time =    3940.60 ms /   282 tokens (   13.97 ms per token,    71.60 tokens per second)
101.46.016 I slot print_timing: id  0 | task 412 | draft acceptance = 0.99061 (  211 accepted /   213 generated)
101.46.016 I slot print_timing: id  0 | task 412 | reasoning effort = medium
102.21.186 I slot print_timing: id  0 | task 413 | prompt eval time =    2503.90 ms /  1645 tokens (    1.52 ms per token,   657.00 tokens per second)  [22016 cached]
102.21.186 I slot print_timing: id  0 | task 413 |        eval time =   32514.60 ms /  1917 tokens (   16.96 ms per token,    59.00 tokens per second)
102.21.186 I slot print_timing: id  0 | task 413 | draft acceptance = 0.77354 ( 1339 accepted /  1731 generated)
102.21.186 I slot print_timing: id  0 | task 413 | reasoning effort = medium
102.29.802 I slot print_timing: id  0 | task 414 | prompt eval time =    3272.60 ms /  2163 tokens (    1.51 ms per token,   660.90 tokens per second)  [23552 cached]
102.29.802 I slot print_timing: id  0 | task 414 |        eval time =    5208.60 ms /   359 tokens (   14.51 ms per token,    68.90 tokens per second)
102.29.802 I slot print_timing: id  0 | task 414 | draft acceptance = 0.95341 (  266 accepted /   279 generated)
102.29.802 I slot print_timing: id  0 | task 414 | reasoning effort = medium
102.33.502 I slot print_timing: id  0 | task 415 | prompt eval time =    1028.70 ms /   558 tokens (    1.84 ms per token,   542.40 tokens per second)  [25600 cached]
102.33.502 I slot print_timing: id  0 | task 415 |        eval time =    2538.80 ms /   180 tokens (   14.10 ms per token,    70.90 tokens per second)
102.33.502 I slot print_timing: id  0 | task 415 | draft acceptance = 1.00000 (  135 accepted /   135 generated)
102.33.502 I slot print_timing: id  0 | task 415 | reasoning effort = medium
102.38.581 I slot print_timing: id  0 | task 416 | prompt eval time =     700.30 ms /   312 tokens (    2.24 ms per token,   445.50 tokens per second)  [26112 cached]
