94.47.082 I slot print_timing: id  0 | task 386 | prompt eval time =    1745.10 ms /   948 tokens (    1.84 ms per token,   543.20 tokens per second)  [33024 cached]
94.47.082 I slot print_timing: id  0 | task 386 |        eval time =   29475.10 ms /  1676 tokens (   17.59 ms per token,    56.90 tokens per second)
94.47.082 I slot print_timing: id  0 | task 386 | draft acceptance = 0.77228 ( 1170 accepted /  1515 generated)
94.47.082 I slot print_timing: id  0 | task 386 | reasoning effort = medium
95.06.095 I slot print_timing: id  0 | task 388 | prompt eval time =    1434.40 ms /  1006 tokens (    1.43 ms per token,   701.30 tokens per second)
95.06.095 I slot print_timing: id  0 | task 388 |        eval time =   15471.50 ms /   797 tokens (   19.41 ms per token,    51.50 tokens per second)
95.06.095 I slot print_timing: id  0 | task 388 | draft acceptance = 0.55518 (  498 accepted /   897 generated)
95.06.095 I slot print_timing: id  0 | task 388 | reasoning effort = xhigh
95.42.065 I slot print_timing: id  0 | task 388 | prompt eval time =   27260.30 ms / 21308 tokens (    1.28 ms per token,   781.60 tokens per second)
95.42.065 I slot print_timing: id  0 | task 388 |        eval time =    8701.00 ms /   556 tokens (   15.65 ms per token,    63.90 tokens per second)
95.42.065 I slot print_timing: id  0 | task 388 | draft acceptance = 0.86422 (  401 accepted /   464 generated)
95.42.065 I slot print_timing: id  0 | task 388 | reasoning effort = medium
95.48.509 I slot print_timing: id  0 | task 389 | prompt eval time =    1745.20 ms /  1101 tokens (    1.59 ms per token,   630.90 tokens per second)  [21248 cached]
95.48.509 I slot print_timing: id  0 | task 389 |        eval time =    3915.30 ms /   276 tokens (   14.19 ms per token,    70.50 tokens per second)
95.48.509 I slot print_timing: id  0 | task 389 | draft acceptance = 0.99038 (  206 accepted /   208 generated)
95.48.509 I slot print_timing: id  0 | task 389 | reasoning effort = medium
96.48.114 I slot print_timing: id  0 | task 390 | prompt eval time =    2358.20 ms /  1507 tokens (    1.56 ms per token,   639.10 tokens per second)  [22272 cached]
96.48.114 I slot print_timing: id  0 | task 390 |        eval time =   57092.30 ms /  3188 tokens (   17.91 ms per token,    55.80 tokens per second)
96.48.114 I slot print_timing: id  0 | task 390 | draft acceptance = 0.71386 ( 2173 accepted /  3044 generated)
96.48.114 I slot print_timing: id  0 | task 390 | reasoning effort = medium
97.00.902 I slot print_timing: id  0 | task 391 | prompt eval time =    5354.70 ms /  3524 tokens (    1.52 ms per token,   658.10 tokens per second)  [23552 cached]
97.00.902 I slot print_timing: id  0 | task 391 |        eval time =    7155.30 ms /   453 tokens (   15.80 ms per token,    63.30 tokens per second)
97.00.902 I slot print_timing: id  0 | task 391 | draft acceptance = 0.86016 (  326 accepted /   379 generated)
97.00.902 I slot print_timing: id  0 | task 391 | reasoning effort = medium
97.03.158 I slot print_timing: id  0 | task 392 | prompt eval time =    1387.00 ms /   753 tokens (    1.84 ms per token,   542.90 tokens per second)  [26880 cached]
97.03.158 I slot print_timing: id  0 | task 392 |        eval time =     733.50 ms /    50 tokens (   14.67 ms per token,    68.20 tokens per second)
97.03.158 I slot print_timing: id  0 | task 392 | draft acceptance = 1.00000 (   37 accepted /    37 generated)
