44.53.894 I slot print_timing: id  0 | task 169 | prompt eval time =   27218.60 ms / 21300 tokens (    1.28 ms per token,   782.60 tokens per second)
44.53.894 I slot print_timing: id  0 | task 169 |        eval time =    8662.70 ms /   546 tokens (   15.87 ms per token,    63.00 tokens per second)
44.53.894 I slot print_timing: id  0 | task 169 | draft acceptance = 0.86184 (  393 accepted /   456 generated)
44.53.894 I slot print_timing: id  0 | task 169 | reasoning effort = medium
45.00.392 I slot print_timing: id  0 | task 170 | prompt eval time =    1680.30 ms /  1084 tokens (    1.55 ms per token,   645.10 tokens per second)  [21248 cached]
45.00.392 I slot print_timing: id  0 | task 170 |        eval time =    3972.40 ms /   270 tokens (   14.71 ms per token,    68.00 tokens per second)
45.00.392 I slot print_timing: id  0 | task 170 | draft acceptance = 0.92523 (  198 accepted /   214 generated)
45.00.392 I slot print_timing: id  0 | task 170 | reasoning effort = medium
45.40.316 I slot print_timing: id  0 | task 171 | prompt eval time =    2328.90 ms /  1484 tokens (    1.57 ms per token,   637.20 tokens per second)  [22272 cached]
45.40.316 I slot print_timing: id  0 | task 171 |        eval time =   37438.10 ms /  2091 tokens (   17.90 ms per token,    55.90 tokens per second)
45.40.316 I slot print_timing: id  0 | task 171 | draft acceptance = 0.71236 ( 1424 accepted /  1999 generated)
45.40.316 I slot print_timing: id  0 | task 171 | reasoning effort = medium
45.55.346 I slot print_timing: id  0 | task 172 | prompt eval time =    3805.20 ms /  2433 tokens (    1.56 ms per token,   639.40 tokens per second)  [23552 cached]
45.55.346 I slot print_timing: id  0 | task 172 |        eval time =   10953.90 ms /   687 tokens (   15.94 ms per token,    62.70 tokens per second)
45.55.346 I slot print_timing: id  0 | task 172 | draft acceptance = 0.84247 (  492 accepted /   584 generated)
45.55.346 I slot print_timing: id  0 | task 172 | reasoning effort = medium
45.57.976 I slot print_timing: id  0 | task 173 | prompt eval time =    1639.30 ms /   920 tokens (    1.78 ms per token,   561.20 tokens per second)  [25856 cached]
45.57.976 I slot print_timing: id  0 | task 173 |        eval time =     862.50 ms /    54 tokens (   15.97 ms per token,    62.60 tokens per second)
45.57.976 I slot print_timing: id  0 | task 173 | draft acceptance = 0.86667 (   39 accepted /    45 generated)
45.57.976 I slot print_timing: id  0 | task 173 | reasoning effort = medium
46.02.072 I slot print_timing: id  0 | task 174 | prompt eval time =     503.80 ms /   252 tokens (    2.00 ms per token,   500.20 tokens per second)  [26624 cached]
46.02.072 I slot print_timing: id  0 | task 174 |        eval time =    3464.80 ms /   239 tokens (   14.50 ms per token,    69.00 tokens per second)
46.02.072 I slot print_timing: id  0 | task 174 | draft acceptance = 0.95161 (  177 accepted /   186 generated)
46.02.072 I slot print_timing: id  0 | task 174 | reasoning effort = medium
46.05.650 I slot print_timing: id  0 | task 175 | prompt eval time =    1070.20 ms /   573 tokens (    1.87 ms per token,   535.40 tokens per second)  [26624 cached]
46.05.650 I slot print_timing: id  0 | task 175 |        eval time =    2368.30 ms /   153 tokens (   15.48 ms per token,    64.60 tokens per second)
46.05.650 I slot print_timing: id  0 | task 175 | draft acceptance = 0.88800 (  111 accepted /   125 generated)
46.05.650 I slot print_timing: id  0 | task 175 | reasoning effort = medium
46.10.082 I slot print_timing: id  0 | task 176 | prompt eval time =     689.80 ms /   290 tokens (    2.38 ms per token,   420.40 tokens per second)  [27136 cached]
