75.00.679 I slot print_timing: id  0 | task 69 | prompt eval time =   32375.70 ms / 24499 tokens (    1.32 ms per token,   756.70 tokens per second)
75.00.679 I slot print_timing: id  0 | task 69 |        eval time =    6827.10 ms /   342 tokens (   19.96 ms per token,    50.10 tokens per second)
75.00.679 I slot print_timing: id  0 | task 69 | draft acceptance = 0.75478 (  237 accepted /   314 generated)
75.00.679 I slot print_timing: id  0 | task 69 | reasoning effort = medium
75.48.822 I slot print_timing: id  0 | task 70 | prompt eval time =   43057.00 ms / 31811 tokens (    1.35 ms per token,   738.80 tokens per second)
75.48.822 I slot print_timing: id  0 | task 70 |        eval time =    4149.60 ms /   239 tokens (   17.36 ms per token,    57.60 tokens per second)
75.48.822 I slot print_timing: id  0 | task 70 | draft acceptance = 0.94118 (  176 accepted /   187 generated)
75.48.822 I slot print_timing: id  0 | task 70 | reasoning effort = medium
75.52.558 I slot print_timing: id  0 | task 71 | prompt eval time =    1779.40 ms /   939 tokens (    1.89 ms per token,   527.70 tokens per second)  [31744 cached]
75.52.558 I slot print_timing: id  0 | task 71 |        eval time =    1582.00 ms /    83 tokens (   19.06 ms per token,    52.50 tokens per second)
75.52.558 I slot print_timing: id  0 | task 71 | draft acceptance = 0.85507 (   59 accepted /    69 generated)
75.52.558 I slot print_timing: id  0 | task 71 | reasoning effort = medium
75.54.606 I slot print_timing: id  0 | task 72 | prompt eval time =     759.50 ms /   301 tokens (    2.52 ms per token,   396.30 tokens per second)  [32512 cached]
75.54.606 I slot print_timing: id  0 | task 72 |        eval time =    1008.40 ms /    44 tokens (   22.92 ms per token,    43.60 tokens per second)
75.54.606 I slot print_timing: id  0 | task 72 | draft acceptance = 0.69048 (   29 accepted /    42 generated)
75.54.606 I slot print_timing: id  0 | task 72 | reasoning effort = medium
76.01.518 I slot print_timing: id  0 | task 73 | prompt eval time =     447.30 ms /   162 tokens (    2.76 ms per token,   362.20 tokens per second)  [32768 cached]
76.01.518 I slot print_timing: id  0 | task 73 |        eval time =    6147.00 ms /   290 tokens (   21.20 ms per token,    47.20 tokens per second)
76.01.518 I slot print_timing: id  0 | task 73 | draft acceptance = 0.73162 (  199 accepted /   272 generated)
76.01.518 I slot print_timing: id  0 | task 73 | reasoning effort = medium
76.07.726 I slot print_timing: id  0 | task 74 | prompt eval time =    1500.30 ms /   760 tokens (    1.97 ms per token,   506.60 tokens per second)  [32768 cached]
76.07.726 I slot print_timing: id  0 | task 74 |        eval time =    4383.70 ms /   167 tokens (   26.25 ms per token,    38.10 tokens per second)
76.07.726 I slot print_timing: id  0 | task 74 | draft acceptance = 0.54497 (  103 accepted /   189 generated)
76.07.726 I slot print_timing: id  0 | task 74 | reasoning effort = medium
76.27.153 I slot print_timing: id  0 | task 76 | prompt eval time =    1306.10 ms /   818 tokens (    1.60 ms per token,   626.30 tokens per second)
76.27.153 I slot print_timing: id  0 | task 76 |        eval time =   14849.10 ms /   650 tokens (   22.84 ms per token,    43.80 tokens per second)
76.27.153 I slot print_timing: id  0 | task 76 | draft acceptance = 0.59514 (  416 accepted /   699 generated)
76.27.153 I slot print_timing: id  0 | task 76 | reasoning effort = xhigh
77.06.655 I slot print_timing: id  0 | task 76 | prompt eval time =   32532.40 ms / 24609 tokens (    1.32 ms per token,   756.40 tokens per second)
77.06.655 I slot print_timing: id  0 | task 76 |        eval time =    6949.40 ms /   317 tokens (   21.92 ms per token,    45.60 tokens per second)
77.06.655 I slot print_timing: id  0 | task 76 | draft acceptance = 0.68489 (  213 accepted /   311 generated)
77.06.655 I slot print_timing: id  0 | task 76 | reasoning effort = medium
77.52.235 I slot print_timing: id  0 | task 77 | prompt eval time =   43111.70 ms / 31768 tokens (    1.36 ms per token,   736.90 tokens per second)
77.52.235 I slot print_timing: id  0 | task 77 |        eval time =    1542.60 ms /    84 tokens (   18.36 ms per token,    54.50 tokens per second)
77.52.235 I slot print_timing: id  0 | task 77 | draft acceptance = 0.84507 (   60 accepted /    71 generated)
77.52.235 I slot print_timing: id  0 | task 77 | reasoning effort = medium
78.46.417 I slot print_timing: id  0 | task 79 | prompt eval time =    1576.40 ms /  1002 tokens (    1.57 ms per token,   635.60 tokens per second)
78.46.417 I slot print_timing: id  0 | task 79 |        eval time =   19276.70 ms /   893 tokens (   21.59 ms per token,    46.30 tokens per second)
78.46.417 I slot print_timing: id  0 | task 79 | draft acceptance = 0.62891 (  583 accepted /   927 generated)
78.46.417 I slot print_timing: id  0 | task 79 | reasoning effort = xhigh
79.23.604 I slot print_timing: id  0 | task 79 | prompt eval time =   34502.50 ms / 25977 tokens (    1.33 ms per token,   752.90 tokens per second)
79.23.604 I slot print_timing: id  0 | task 79 |        eval time =    2664.00 ms /   164 tokens (   16.24 ms per token,    61.60 tokens per second)
79.23.604 I slot print_timing: id  0 | task 79 | draft acceptance = 0.95276 (  121 accepted /   127 generated)
79.23.604 I slot print_timing: id  0 | task 79 | reasoning effort = medium
79.30.522 I slot print_timing: id  0 | task 80 | prompt eval time =    1860.00 ms /  1115 tokens (    1.67 ms per token,   599.50 tokens per second)  [25856 cached]
79.30.522 I slot print_timing: id  0 | task 80 |        eval time =    4716.50 ms /   279 tokens (   16.91 ms per token,    59.20 tokens per second)
79.30.522 I slot print_timing: id  0 | task 80 | draft acceptance = 0.90222 (  203 accepted /   225 generated)
79.30.522 I slot print_timing: id  0 | task 80 | reasoning effort = medium
79.35.496 I slot print_timing: id  0 | task 81 | prompt eval time =    1038.10 ms /   475 tokens (    2.19 ms per token,   457.60 tokens per second)  [26880 cached]
79.35.496 I slot print_timing: id  0 | task 81 |        eval time =    3702.70 ms /   226 tokens (   16.38 ms per token,    61.00 tokens per second)
79.35.496 I slot print_timing: id  0 | task 81 | draft acceptance = 0.93258 (  166 accepted /   178 generated)
79.35.496 I slot print_timing: id  0 | task 81 | reasoning effort = medium
79.47.187 I slot print_timing: id  0 | task 82 | prompt eval time =    1058.90 ms /   550 tokens (    1.93 ms per token,   519.40 tokens per second)  [27136 cached]
79.47.187 I slot print_timing: id  0 | task 82 |        eval time =   10405.20 ms /   586 tokens (   17.76 ms per token,    56.30 tokens per second)
79.47.187 I slot print_timing: id  0 | task 82 | draft acceptance = 0.84848 (  420 accepted /   495 generated)
79.47.187 I slot print_timing: id  0 | task 82 | reasoning effort = medium
79.50.700 I slot print_timing: id  0 | task 83 | prompt eval time =    1397.10 ms /   728 tokens (    1.92 ms per token,   521.10 tokens per second)  [27648 cached]
79.50.700 I slot print_timing: id  0 | task 83 |        eval time =    1869.50 ms /   105 tokens (   17.80 ms per token,    56.20 tokens per second)
79.50.700 I slot print_timing: id  0 | task 83 | draft acceptance = 0.86207 (   75 accepted /    87 generated)
79.50.700 I slot print_timing: id  0 | task 83 | reasoning effort = medium
80.00.360 I slot print_timing: id  0 | task 84 | prompt eval time =     904.20 ms /   378 tokens (    2.39 ms per token,   418.10 tokens per second)  [28160 cached]
