1.09.796 I slot print_timing: id  0 | task 3 | prompt eval time =    4518.70 ms /   835 tokens (    5.41 ms per token,   184.80 tokens per second)
1.09.796 I slot print_timing: id  0 | task 3 |        eval time =   10545.90 ms /   489 tokens (   21.57 ms per token,    46.40 tokens per second)
1.09.796 I slot print_timing: id  0 | task 3 | draft acceptance = 0.66191 (  325 accepted /   491 generated)
1.09.796 I slot print_timing: id  0 | task 3 | reasoning effort = xhigh
5.00.098 I slot print_timing: id  0 | task 3 | prompt eval time =   35259.70 ms / 26557 tokens (    1.33 ms per token,   753.20 tokens per second)
5.00.098 I slot print_timing: id  0 | task 3 |        eval time =  195023.10 ms / 10964 tokens (   17.79 ms per token,    56.20 tokens per second)
5.00.098 I slot print_timing: id  0 | task 3 | draft acceptance = 0.83177 ( 7827 accepted /  9410 generated)
5.00.098 I slot print_timing: id  0 | task 3 | reasoning effort = medium
6.07.257 I slot print_timing: id  0 | task 4 | prompt eval time =   48875.80 ms / 35659 tokens (    1.37 ms per token,   729.60 tokens per second)
6.07.257 I slot print_timing: id  0 | task 4 |        eval time =   18265.40 ms /   842 tokens (   21.69 ms per token,    46.10 tokens per second)
6.07.257 I slot print_timing: id  0 | task 4 | draft acceptance = 0.64610 (  555 accepted /   859 generated)
6.07.257 I slot print_timing: id  0 | task 4 | reasoning effort = medium
6.41.410 I slot print_timing: id  0 | task 5 | prompt eval time =   17658.90 ms / 11268 tokens (    1.57 ms per token,   638.10 tokens per second)  [26368 cached]
6.41.410 I slot print_timing: id  0 | task 5 |        eval time =   16439.80 ms /   629 tokens (   26.14 ms per token,    38.30 tokens per second)
6.41.410 I slot print_timing: id  0 | task 5 | draft acceptance = 0.49868 (  377 accepted /   756 generated)
6.41.410 I slot print_timing: id  0 | task 5 | reasoning effort = medium
6.44.380 I slot print_timing: id  0 | task 5 | prompt eval time =    2009.90 ms /  1068 tokens (    1.88 ms per token,   531.40 tokens per second)  [35584 cached]
6.44.380 I slot print_timing: id  0 | task 5 |        eval time =     887.80 ms /    49 tokens (   18.12 ms per token,    55.20 tokens per second)
6.44.380 I slot print_timing: id  0 | task 5 | draft acceptance = 1.00000 (   36 accepted /    36 generated)
6.44.380 I slot print_timing: id  0 | task 5 | reasoning effort = medium
6.47.292 I slot print_timing: id  0 | task 6 | prompt eval time =     432.90 ms /   139 tokens (    3.11 ms per token,   321.10 tokens per second)  [36608 cached]
6.47.292 I slot print_timing: id  0 | task 6 |        eval time =    2171.20 ms /    83 tokens (   26.16 ms per token,    38.20 tokens per second)
6.47.292 I slot print_timing: id  0 | task 6 | draft acceptance = 0.57778 (   52 accepted /    90 generated)
6.47.292 I slot print_timing: id  0 | task 6 | reasoning effort = medium
7.19.452 I slot print_timing: id  0 | task 8 | prompt eval time =     353.30 ms /    77 tokens (    4.59 ms per token,   218.00 tokens per second)  [768 cached]
7.19.452 I slot print_timing: id  0 | task 8 |        eval time =    8232.60 ms /   428 tokens (   19.24 ms per token,    52.00 tokens per second)
7.19.452 I slot print_timing: id  0 | task 8 | draft acceptance = 0.70218 (  290 accepted /   413 generated)
7.19.452 I slot print_timing: id  0 | task 8 | reasoning effort = xhigh
10.32.084 I slot print_timing: id  0 | task 8 | prompt eval time =   35120.60 ms / 26659 tokens (    1.32 ms per token,   759.10 tokens per second)
10.32.084 I slot print_timing: id  0 | task 8 |        eval time =  157493.30 ms /  8631 tokens (   18.25 ms per token,    54.80 tokens per second)
10.32.084 I slot print_timing: id  0 | task 8 | draft acceptance = 0.83225 ( 6162 accepted /  7404 generated)
10.32.084 I slot print_timing: id  0 | task 8 | reasoning effort = medium
10.49.298 I slot print_timing: id  0 | task 9 | prompt eval time =   13793.60 ms /  8768 tokens (    1.57 ms per token,   635.70 tokens per second)  [26624 cached]
10.49.298 I slot print_timing: id  0 | task 9 |        eval time =    3071.10 ms /   126 tokens (   24.37 ms per token,    41.00 tokens per second)
10.49.298 I slot print_timing: id  0 | task 9 | draft acceptance = 0.64844 (   83 accepted /   128 generated)
10.49.298 I slot print_timing: id  0 | task 9 | reasoning effort = medium
15.17.170 I slot print_timing: id  0 | task 10 | prompt eval time =    3451.50 ms /  1989 tokens (    1.74 ms per token,   576.30 tokens per second)  [35328 cached]
15.17.170 I slot print_timing: id  0 | task 10 |        eval time =  264114.50 ms / 12669 tokens (   20.85 ms per token,    48.00 tokens per second)
15.17.170 I slot print_timing: id  0 | task 10 | draft acceptance = 0.75339 ( 8783 accepted / 11658 generated)
15.17.170 I slot print_timing: id  0 | task 10 | reasoning effort = medium
15.46.198 I slot print_timing: id  0 | task 11 | prompt eval time =   23300.90 ms / 13790 tokens (    1.69 ms per token,   591.80 tokens per second)  [37120 cached]
15.46.198 I slot print_timing: id  0 | task 11 |        eval time =    5343.50 ms /   226 tokens (   23.64 ms per token,    42.30 tokens per second)
15.46.198 I slot print_timing: id  0 | task 11 | draft acceptance = 0.61088 (  146 accepted /   239 generated)
15.46.198 I slot print_timing: id  0 | task 11 | reasoning effort = medium
15.50.148 I slot print_timing: id  0 | task 12 | prompt eval time =    1395.90 ms /   600 tokens (    2.33 ms per token,   429.80 tokens per second)  [50688 cached]
15.50.148 I slot print_timing: id  0 | task 12 |        eval time =    2200.80 ms /   120 tokens (   18.34 ms per token,    54.50 tokens per second)
15.50.148 I slot print_timing: id  0 | task 12 | draft acceptance = 0.93617 (   88 accepted /    94 generated)
15.50.148 I slot print_timing: id  0 | task 12 | reasoning effort = medium
15.54.373 I slot print_timing: id  0 | task 13 | prompt eval time =     867.30 ms /   280 tokens (    3.10 ms per token,   322.80 tokens per second)  [51200 cached]
15.54.373 I slot print_timing: id  0 | task 13 |        eval time =    2916.50 ms /   142 tokens (   20.54 ms per token,    48.70 tokens per second)
15.54.373 I slot print_timing: id  0 | task 13 | draft acceptance = 0.74809 (   98 accepted /   131 generated)
15.54.373 I slot print_timing: id  0 | task 13 | reasoning effort = medium
16.01.281 I slot print_timing: id  0 | task 14 | prompt eval time =    1106.60 ms /   409 tokens (    2.71 ms per token,   369.60 tokens per second)  [51456 cached]
16.01.281 I slot print_timing: id  0 | task 14 |        eval time =    5438.40 ms /   240 tokens (   22.66 ms per token,    44.10 tokens per second)
16.01.281 I slot print_timing: id  0 | task 14 | draft acceptance = 0.68220 (  161 accepted /   236 generated)
16.01.281 I slot print_timing: id  0 | task 14 | reasoning effort = medium
16.07.209 I slot print_timing: id  0 | task 15 | prompt eval time =    1245.70 ms /   551 tokens (    2.26 ms per token,   442.30 tokens per second)  [51712 cached]
16.07.209 I slot print_timing: id  0 | task 15 |        eval time =    4338.00 ms /   192 tokens (   22.59 ms per token,    44.30 tokens per second)
16.07.209 I slot print_timing: id  0 | task 15 | draft acceptance = 0.67016 (  128 accepted /   191 generated)
16.07.209 I slot print_timing: id  0 | task 15 | reasoning effort = medium
16.19.636 I slot print_timing: id  0 | task 16 | prompt eval time =    1001.40 ms /   342 tokens (    2.93 ms per token,   341.50 tokens per second)  [52224 cached]
16.19.636 I slot print_timing: id  0 | task 16 |        eval time =   11058.90 ms /   581 tokens (   19.03 ms per token,    52.50 tokens per second)
16.19.636 I slot print_timing: id  0 | task 16 | draft acceptance = 0.84756 (  417 accepted /   492 generated)
16.19.636 I slot print_timing: id  0 | task 16 | reasoning effort = medium
16.29.663 I slot print_timing: id  0 | task 17 | prompt eval time =    1814.30 ms /   827 tokens (    2.19 ms per token,   455.80 tokens per second)  [52480 cached]
16.29.663 I slot print_timing: id  0 | task 17 |        eval time =    6397.70 ms /   342 tokens (   18.71 ms per token,    53.50 tokens per second)
16.29.663 I slot print_timing: id  0 | task 17 | draft acceptance = 0.89247 (  249 accepted /   279 generated)
16.29.663 I slot print_timing: id  0 | task 17 | reasoning effort = medium
17.04.247 I slot print_timing: id  0 | task 18 | prompt eval time =    1273.60 ms /   488 tokens (    2.61 ms per token,   383.20 tokens per second)  [53248 cached]
17.04.247 I slot print_timing: id  0 | task 18 |        eval time =   27240.20 ms /  1161 tokens (   23.46 ms per token,    42.60 tokens per second)
17.04.247 I slot print_timing: id  0 | task 18 | draft acceptance = 0.69170 (  783 accepted /  1132 generated)
17.04.247 I slot print_timing: id  0 | task 18 | reasoning effort = medium
17.29.083 I slot print_timing: id  0 | task 19 | prompt eval time =    5221.80 ms /  2581 tokens (    2.02 ms per token,   494.30 tokens per second)  [53504 cached]
17.29.083 I slot print_timing: id  0 | task 19 |        eval time =   17393.20 ms /   707 tokens (   24.60 ms per token,    40.60 tokens per second)
17.29.083 I slot print_timing: id  0 | task 19 | draft acceptance = 0.66384 (  470 accepted /   708 generated)
17.29.083 I slot print_timing: id  0 | task 19 | reasoning effort = medium
17.38.556 I slot print_timing: id  0 | task 20 | prompt eval time =    2083.60 ms /   912 tokens (    2.28 ms per token,   437.70 tokens per second)  [56064 cached]
17.38.556 I slot print_timing: id  0 | task 20 |        eval time =    6966.40 ms /   314 tokens (   22.19 ms per token,    45.10 tokens per second)
17.38.556 I slot print_timing: id  0 | task 20 | draft acceptance = 0.72881 (  215 accepted /   295 generated)
17.38.556 I slot print_timing: id  0 | task 20 | reasoning effort = medium
18.01.776 I slot print_timing: id  0 | task 21 | prompt eval time =    1282.20 ms /   500 tokens (    2.56 ms per token,   389.90 tokens per second)  [56832 cached]
18.01.776 I slot print_timing: id  0 | task 21 |        eval time =   20204.20 ms /   758 tokens (   26.65 ms per token,    37.50 tokens per second)
18.01.776 I slot print_timing: id  0 | task 21 | draft acceptance = 0.55830 (  474 accepted /   849 generated)
18.01.776 I slot print_timing: id  0 | task 21 | reasoning effort = medium
