39.52.487 I slot print_timing: id  0 | task 147 | prompt eval time =    6864.90 ms /  4502 tokens (    1.52 ms per token,   655.80 tokens per second)  [23552 cached]
39.52.487 I slot print_timing: id  0 | task 147 |        eval time =     738.60 ms /    50 tokens (   14.77 ms per token,    67.70 tokens per second)
39.52.487 I slot print_timing: id  0 | task 147 | draft acceptance = 1.00000 (   37 accepted /    37 generated)
39.52.487 I slot print_timing: id  0 | task 147 | reasoning effort = medium
39.56.505 I slot print_timing: id  0 | task 148 | prompt eval time =     520.50 ms /   246 tokens (    2.12 ms per token,   472.70 tokens per second)  [27904 cached]
39.56.505 I slot print_timing: id  0 | task 148 |        eval time =    3366.40 ms /   231 tokens (   14.57 ms per token,    68.60 tokens per second)
39.56.505 I slot print_timing: id  0 | task 148 | draft acceptance = 0.95531 (  171 accepted /   179 generated)
39.56.505 I slot print_timing: id  0 | task 148 | reasoning effort = medium
39.59.112 I slot print_timing: id  0 | task 149 | prompt eval time =    1041.70 ms /   560 tokens (    1.86 ms per token,   537.60 tokens per second)  [27904 cached]
39.59.112 I slot print_timing: id  0 | task 149 |        eval time =    1425.30 ms /    93 tokens (   15.33 ms per token,    65.30 tokens per second)
39.59.112 I slot print_timing: id  0 | task 149 | draft acceptance = 0.94444 (   68 accepted /    72 generated)
39.59.112 I slot print_timing: id  0 | task 149 | reasoning effort = medium
40.04.703 I slot print_timing: id  0 | task 150 | prompt eval time =     482.70 ms /   197 tokens (    2.45 ms per token,   408.10 tokens per second)  [28416 cached]
40.04.703 I slot print_timing: id  0 | task 150 |        eval time =    4979.60 ms /   348 tokens (   14.31 ms per token,    69.90 tokens per second)
40.04.703 I slot print_timing: id  0 | task 150 | draft acceptance = 0.99617 (  260 accepted /   261 generated)
40.04.703 I slot print_timing: id  0 | task 150 | reasoning effort = medium
40.08.467 I slot print_timing: id  0 | task 151 | prompt eval time =    1231.40 ms /   628 tokens (    1.96 ms per token,   510.00 tokens per second)  [28416 cached]
40.08.467 I slot print_timing: id  0 | task 151 |        eval time =    2393.30 ms /   165 tokens (   14.50 ms per token,    68.90 tokens per second)
40.08.467 I slot print_timing: id  0 | task 151 | draft acceptance = 0.97619 (  123 accepted /   126 generated)
40.08.467 I slot print_timing: id  0 | task 151 | reasoning effort = medium
40.10.721 I slot print_timing: id  0 | task 152 | prompt eval time =     853.80 ms /   366 tokens (    2.33 ms per token,   428.70 tokens per second)  [28928 cached]
40.10.721 I slot print_timing: id  0 | task 152 |        eval time =    1259.30 ms /    88 tokens (   14.31 ms per token,    69.90 tokens per second)
40.10.721 I slot print_timing: id  0 | task 152 | draft acceptance = 1.00000 (   66 accepted /    66 generated)
40.10.721 I slot print_timing: id  0 | task 152 | reasoning effort = medium
40.20.404 I slot print_timing: id  0 | task 153 | prompt eval time =     537.10 ms /   254 tokens (    2.11 ms per token,   472.90 tokens per second)  [29184 cached]
40.20.404 I slot print_timing: id  0 | task 153 |        eval time =    9006.10 ms /   612 tokens (   14.72 ms per token,    68.00 tokens per second)
40.20.404 I slot print_timing: id  0 | task 153 | draft acceptance = 0.95983 (  454 accepted /   473 generated)
40.20.404 I slot print_timing: id  0 | task 153 | reasoning effort = medium
40.23.541 I slot print_timing: id  0 | task 154 | prompt eval time =    1679.70 ms /   932 tokens (    1.80 ms per token,   554.90 tokens per second)  [29184 cached]
40.23.541 I slot print_timing: id  0 | task 154 |        eval time =    1307.90 ms /    91 tokens (   14.37 ms per token,    69.60 tokens per second)
40.23.541 I slot print_timing: id  0 | task 154 | draft acceptance = 1.00000 (   68 accepted /    68 generated)
40.23.541 I slot print_timing: id  0 | task 154 | reasoning effort = medium
40.26.449 I slot print_timing: id  0 | task 155 | prompt eval time =     726.90 ms /   311 tokens (    2.34 ms per token,   427.90 tokens per second)  [29952 cached]
40.26.449 I slot print_timing: id  0 | task 155 |        eval time =    2040.80 ms /   133 tokens (   15.34 ms per token,    65.20 tokens per second)
40.26.449 I slot print_timing: id  0 | task 155 | draft acceptance = 0.90654 (   97 accepted /   107 generated)
40.26.449 I slot print_timing: id  0 | task 155 | reasoning effort = medium
40.43.833 I slot print_timing: id  0 | task 156 | prompt eval time =     635.20 ms /   273 tokens (    2.33 ms per token,   429.80 tokens per second)  [30208 cached]
40.43.833 I slot print_timing: id  0 | task 156 |        eval time =   16603.90 ms /  1132 tokens (   14.67 ms per token,    68.20 tokens per second)
40.43.833 I slot print_timing: id  0 | task 156 | draft acceptance = 0.96220 (  840 accepted /   873 generated)
40.43.833 I slot print_timing: id  0 | task 156 | reasoning effort = medium
40.47.123 I slot print_timing: id  0 | task 157 | prompt eval time =    2100.20 ms /  1234 tokens (    1.70 ms per token,   587.60 tokens per second)  [30464 cached]
40.47.123 I slot print_timing: id  0 | task 157 |        eval time =    1039.80 ms /    66 tokens (   15.75 ms per token,    63.50 tokens per second)
40.47.123 I slot print_timing: id  0 | task 157 | draft acceptance = 0.92308 (   48 accepted /    52 generated)
40.47.123 I slot print_timing: id  0 | task 157 | reasoning effort = medium
40.51.119 I slot print_timing: id  0 | task 158 | prompt eval time =     814.50 ms /   336 tokens (    2.42 ms per token,   412.50 tokens per second)  [31488 cached]
40.51.119 I slot print_timing: id  0 | task 158 |        eval time =    2534.90 ms /   158 tokens (   16.04 ms per token,    62.30 tokens per second)
40.51.119 I slot print_timing: id  0 | task 158 | draft acceptance = 0.88372 (  114 accepted /   129 generated)
40.51.119 I slot print_timing: id  0 | task 158 | reasoning effort = medium
40.54.586 I slot print_timing: id  0 | task 159 | prompt eval time =    1063.80 ms /   474 tokens (    2.24 ms per token,   445.60 tokens per second)  [31744 cached]
