19.53.774 I slot print_timing: id  0 | task 68 | prompt eval time =    2143.80 ms /  1331 tokens (    1.61 ms per token,   620.90 tokens per second)  [28928 cached]
19.53.774 I slot print_timing: id  0 | task 68 |        eval time =    1963.80 ms /   123 tokens (   15.97 ms per token,    62.60 tokens per second)
19.53.774 I slot print_timing: id  0 | task 68 | draft acceptance = 0.88119 (   89 accepted /   101 generated)
19.53.774 I slot print_timing: id  0 | task 68 | reasoning effort = medium
20.09.595 I slot print_timing: id  0 | task 69 | prompt eval time =     863.70 ms /   259 tokens (    3.33 ms per token,   299.90 tokens per second)  [30208 cached]
20.09.595 I slot print_timing: id  0 | task 69 |        eval time =   14809.90 ms /  1031 tokens (   14.36 ms per token,    69.60 tokens per second)
20.09.595 I slot print_timing: id  0 | task 69 | draft acceptance = 0.99228 (  771 accepted /   777 generated)
20.09.595 I slot print_timing: id  0 | task 69 | reasoning effort = medium
20.12.937 I slot print_timing: id  0 | task 70 | prompt eval time =    2152.80 ms /  1119 tokens (    1.92 ms per token,   519.80 tokens per second)  [30464 cached]
20.12.937 I slot print_timing: id  0 | task 70 |        eval time =    1038.40 ms /    66 tokens (   15.73 ms per token,    63.60 tokens per second)
20.12.937 I slot print_timing: id  0 | task 70 | draft acceptance = 0.92308 (   48 accepted /    52 generated)
20.12.937 I slot print_timing: id  0 | task 70 | reasoning effort = medium
20.16.522 I slot print_timing: id  0 | task 71 | prompt eval time =     584.50 ms /   221 tokens (    2.64 ms per token,   378.10 tokens per second)  [31488 cached]
20.16.522 I slot print_timing: id  0 | task 71 |        eval time =    2338.40 ms /   146 tokens (   16.02 ms per token,    62.40 tokens per second)
20.16.522 I slot print_timing: id  0 | task 71 | draft acceptance = 0.87500 (  105 accepted /   120 generated)
20.16.522 I slot print_timing: id  0 | task 71 | reasoning effort = medium
20.21.472 I slot print_timing: id  0 | task 72 | prompt eval time =    1197.80 ms /   600 tokens (    2.00 ms per token,   500.90 tokens per second)  [31488 cached]
20.21.472 I slot print_timing: id  0 | task 72 |        eval time =    3472.80 ms /   213 tokens (   16.30 ms per token,    61.30 tokens per second)
20.21.472 I slot print_timing: id  0 | task 72 | draft acceptance = 0.83516 (  152 accepted /   182 generated)
20.21.472 I slot print_timing: id  0 | task 72 | reasoning effort = medium
20.23.303 I slot print_timing: id  0 | task 73 | prompt eval time =     821.30 ms /   345 tokens (    2.38 ms per token,   420.10 tokens per second)  [32000 cached]
20.23.303 I slot print_timing: id  0 | task 73 |        eval time =     865.30 ms /    59 tokens (   14.67 ms per token,    68.20 tokens per second)
20.23.303 I slot print_timing: id  0 | task 73 | draft acceptance = 1.00000 (   44 accepted /    44 generated)
20.23.303 I slot print_timing: id  0 | task 73 | reasoning effort = medium
21.03.606 I slot print_timing: id  0 | task 74 | prompt eval time =    2816.20 ms /  1708 tokens (    1.65 ms per token,   606.50 tokens per second)  [32256 cached]
21.03.606 I slot print_timing: id  0 | task 74 |        eval time =   37336.90 ms /  1918 tokens (   19.47 ms per token,    51.40 tokens per second)
21.03.606 I slot print_timing: id  0 | task 74 | draft acceptance = 0.66010 ( 1274 accepted /  1930 generated)
21.03.606 I slot print_timing: id  0 | task 74 | reasoning effort = medium
