50.14.393 I slot print_timing: id  0 | task 195 | prompt eval time =    1660.00 ms /   965 tokens (    1.72 ms per token,   581.30 tokens per second)  [21248 cached]
50.14.393 I slot print_timing: id  0 | task 195 |        eval time =    3755.10 ms /   270 tokens (   13.91 ms per token,    71.90 tokens per second)
50.14.393 I slot print_timing: id  0 | task 195 | draft acceptance = 0.99020 (  202 accepted /   204 generated)
50.14.393 I slot print_timing: id  0 | task 195 | reasoning effort = medium
51.11.265 I slot print_timing: id  0 | task 196 | prompt eval time =    2470.80 ms /  1621 tokens (    1.52 ms per token,   656.10 tokens per second)  [22016 cached]
51.11.265 I slot print_timing: id  0 | task 196 |        eval time =   54249.70 ms /  3135 tokens (   17.30 ms per token,    57.80 tokens per second)
51.11.265 I slot print_timing: id  0 | task 196 | draft acceptance = 0.74922 ( 2169 accepted /  2895 generated)
51.11.265 I slot print_timing: id  0 | task 196 | reasoning effort = medium
51.17.838 I slot print_timing: id  0 | task 197 | prompt eval time =    4970.20 ms /  3318 tokens (    1.50 ms per token,   667.60 tokens per second)  [23552 cached]
51.17.838 I slot print_timing: id  0 | task 197 |        eval time =    1472.40 ms /    89 tokens (   16.54 ms per token,    60.40 tokens per second)
51.17.838 I slot print_timing: id  0 | task 197 | draft acceptance = 0.81818 (   63 accepted /    77 generated)
51.17.838 I slot print_timing: id  0 | task 197 | reasoning effort = medium
51.26.595 I slot print_timing: id  0 | task 198 | prompt eval time =     877.30 ms /   381 tokens (    2.30 ms per token,   434.30 tokens per second)  [26624 cached]
51.26.595 I slot print_timing: id  0 | task 198 |        eval time =    7752.80 ms /   496 tokens (   15.63 ms per token,    64.00 tokens per second)
51.26.595 I slot print_timing: id  0 | task 198 | draft acceptance = 0.85612 (  357 accepted /   417 generated)
51.26.595 I slot print_timing: id  0 | task 198 | reasoning effort = medium
51.30.320 I slot print_timing: id  0 | task 199 | prompt eval time =    1444.40 ms /   705 tokens (    2.05 ms per token,   488.10 tokens per second)  [26880 cached]
51.30.320 I slot print_timing: id  0 | task 199 |        eval time =    2141.20 ms /   140 tokens (   15.29 ms per token,    65.40 tokens per second)
51.30.320 I slot print_timing: id  0 | task 199 | draft acceptance = 0.91892 (  102 accepted /   111 generated)
51.30.320 I slot print_timing: id  0 | task 199 | reasoning effort = medium
51.35.215 I slot print_timing: id  0 | task 200 | prompt eval time =     947.10 ms /   417 tokens (    2.27 ms per token,   440.30 tokens per second)  [27392 cached]
51.35.215 I slot print_timing: id  0 | task 200 |        eval time =    3809.40 ms /   242 tokens (   15.74 ms per token,    63.50 tokens per second)
51.35.215 I slot print_timing: id  0 | task 200 | draft acceptance = 0.85294 (  174 accepted /   204 generated)
51.35.215 I slot print_timing: id  0 | task 200 | reasoning effort = medium
51.44.312 I slot print_timing: id  0 | task 201 | prompt eval time =    1035.70 ms /   487 tokens (    2.13 ms per token,   470.20 tokens per second)  [27648 cached]
51.44.312 I slot print_timing: id  0 | task 201 |        eval time =    7920.40 ms /   425 tokens (   18.64 ms per token,    53.70 tokens per second)
51.44.312 I slot print_timing: id  0 | task 201 | draft acceptance = 0.67458 (  284 accepted /   421 generated)
51.44.312 I slot print_timing: id  0 | task 201 | reasoning effort = medium
51.48.457 I slot print_timing: id  0 | task 202 | prompt eval time =    1376.90 ms /   741 tokens (    1.86 ms per token,   538.20 tokens per second)  [27904 cached]
51.48.457 I slot print_timing: id  0 | task 202 |        eval time =    2627.10 ms /   158 tokens (   16.63 ms per token,    60.10 tokens per second)
51.48.457 I slot print_timing: id  0 | task 202 | draft acceptance = 0.82353 (  112 accepted /   136 generated)
51.48.457 I slot print_timing: id  0 | task 202 | reasoning effort = medium
51.54.138 I slot print_timing: id  0 | task 203 | prompt eval time =    1464.30 ms /   830 tokens (    1.76 ms per token,   566.80 tokens per second)  [28416 cached]
51.54.138 I slot print_timing: id  0 | task 203 |        eval time =    3487.00 ms /   217 tokens (   16.07 ms per token,    62.20 tokens per second)
51.54.138 I slot print_timing: id  0 | task 203 | draft acceptance = 0.86188 (  156 accepted /   181 generated)
51.54.138 I slot print_timing: id  0 | task 203 | reasoning effort = medium
52.00.377 I slot print_timing: id  0 | task 204 | prompt eval time =     806.50 ms /   332 tokens (    2.43 ms per token,   411.70 tokens per second)  [29184 cached]
52.00.377 I slot print_timing: id  0 | task 204 |        eval time =    5297.00 ms /   337 tokens (   15.72 ms per token,    63.60 tokens per second)
52.00.377 I slot print_timing: id  0 | task 204 | draft acceptance = 0.87770 (  244 accepted /   278 generated)
52.00.377 I slot print_timing: id  0 | task 204 | reasoning effort = medium
52.02.896 I slot print_timing: id  0 | task 205 | prompt eval time =    1042.90 ms /   493 tokens (    2.12 ms per token,   472.70 tokens per second)  [29440 cached]
52.02.896 I slot print_timing: id  0 | task 205 |        eval time =    1322.40 ms /    82 tokens (   16.13 ms per token,    62.00 tokens per second)
52.02.896 I slot print_timing: id  0 | task 205 | draft acceptance = 0.88060 (   59 accepted /    67 generated)
52.02.896 I slot print_timing: id  0 | task 205 | reasoning effort = medium
52.06.669 I slot print_timing: id  0 | task 206 | prompt eval time =     879.70 ms /   378 tokens (    2.33 ms per token,   429.70 tokens per second)  [29696 cached]
52.06.669 I slot print_timing: id  0 | task 206 |        eval time =    2225.80 ms /   129 tokens (   17.25 ms per token,    58.00 tokens per second)
52.06.669 I slot print_timing: id  0 | task 206 | draft acceptance = 0.77586 (   90 accepted /   116 generated)
52.06.669 I slot print_timing: id  0 | task 206 | reasoning effort = medium
52.11.319 I slot print_timing: id  0 | task 207 | prompt eval time =     786.60 ms /   328 tokens (    2.40 ms per token,   417.00 tokens per second)  [29952 cached]
52.11.319 I slot print_timing: id  0 | task 207 |        eval time =    3596.40 ms /   231 tokens (   15.57 ms per token,    64.20 tokens per second)
52.11.319 I slot print_timing: id  0 | task 207 | draft acceptance = 0.89362 (  168 accepted /   188 generated)
52.11.319 I slot print_timing: id  0 | task 207 | reasoning effort = medium
52.18.160 I slot print_timing: id  0 | task 208 | prompt eval time =     849.60 ms /   358 tokens (    2.37 ms per token,   421.40 tokens per second)  [30208 cached]
52.18.160 I slot print_timing: id  0 | task 208 |        eval time =    5850.20 ms /   378 tokens (   15.48 ms per token,    64.60 tokens per second)
52.18.160 I slot print_timing: id  0 | task 208 | draft acceptance = 0.89869 (  275 accepted /   306 generated)
52.18.160 I slot print_timing: id  0 | task 208 | reasoning effort = medium
52.22.208 I slot print_timing: id  0 | task 209 | prompt eval time =    1095.80 ms /   562 tokens (    1.95 ms per token,   512.80 tokens per second)  [30464 cached]
52.22.208 I slot print_timing: id  0 | task 209 |        eval time =    2790.80 ms /   191 tokens (   14.61 ms per token,    68.40 tokens per second)
52.22.208 I slot print_timing: id  0 | task 209 | draft acceptance = 0.97260 (  142 accepted /   146 generated)
52.22.208 I slot print_timing: id  0 | task 209 | reasoning effort = medium
52.31.540 I slot print_timing: id  0 | task 210 | prompt eval time =     782.50 ms /   325 tokens (    2.41 ms per token,   415.30 tokens per second)  [30976 cached]
52.31.540 I slot print_timing: id  0 | task 210 |        eval time =    8398.40 ms /   456 tokens (   18.42 ms per token,    54.30 tokens per second)
52.31.540 I slot print_timing: id  0 | task 210 | draft acceptance = 0.69683 (  308 accepted /   442 generated)
52.31.540 I slot print_timing: id  0 | task 210 | reasoning effort = medium
52.42.524 I slot print_timing: id  0 | task 211 | prompt eval time =    1198.00 ms /   601 tokens (    1.99 ms per token,   501.70 tokens per second)  [31232 cached]
52.42.524 I slot print_timing: id  0 | task 211 |        eval time =    9629.70 ms /   658 tokens (   14.63 ms per token,    68.30 tokens per second)
52.42.524 I slot print_timing: id  0 | task 211 | draft acceptance = 0.95874 (  488 accepted /   509 generated)
52.42.524 I slot print_timing: id  0 | task 211 | reasoning effort = medium
52.45.434 I slot print_timing: id  0 | task 212 | prompt eval time =    1488.00 ms /   831 tokens (    1.79 ms per token,   558.50 tokens per second)  [31744 cached]
52.45.434 I slot print_timing: id  0 | task 212 |        eval time =    1266.70 ms /    84 tokens (   15.08 ms per token,    66.30 tokens per second)
