121.08.881 I slot print_timing: id  0 | task 450 | prompt eval time =    2331.30 ms /  1476 tokens (    1.58 ms per token,   633.10 tokens per second)  [22272 cached]
121.08.881 I slot print_timing: id  0 | task 450 |        eval time =   70146.30 ms /  4161 tokens (   16.86 ms per token,    59.30 tokens per second)
121.08.881 I slot print_timing: id  0 | task 450 | draft acceptance = 0.77983 ( 2915 accepted /  3738 generated)
121.08.881 I slot print_timing: id  0 | task 450 | reasoning effort = medium
121.21.160 I slot print_timing: id  0 | task 451 | prompt eval time =    6701.40 ms /  4433 tokens (    1.51 ms per token,   661.50 tokens per second)  [23552 cached]
121.21.160 I slot print_timing: id  0 | task 451 |        eval time =    5431.20 ms /   368 tokens (   14.76 ms per token,    67.80 tokens per second)
121.21.160 I slot print_timing: id  0 | task 451 | draft acceptance = 0.94444 (  272 accepted /   288 generated)
121.21.160 I slot print_timing: id  0 | task 451 | reasoning effort = medium
121.24.891 I slot print_timing: id  0 | task 452 | prompt eval time =    1013.50 ms /   533 tokens (    1.90 ms per token,   525.90 tokens per second)  [27904 cached]
121.24.891 I slot print_timing: id  0 | task 452 |        eval time =    2579.30 ms /   180 tokens (   14.33 ms per token,    69.80 tokens per second)
121.24.891 I slot print_timing: id  0 | task 452 | draft acceptance = 0.98529 (  134 accepted /   136 generated)
121.24.891 I slot print_timing: id  0 | task 452 | reasoning effort = medium
121.32.575 I slot print_timing: id  0 | task 453 | prompt eval time =     685.40 ms /   287 tokens (    2.39 ms per token,   418.80 tokens per second)  [28416 cached]
121.32.575 I slot print_timing: id  0 | task 453 |        eval time =    6860.00 ms /   446 tokens (   15.38 ms per token,    65.00 tokens per second)
121.32.575 I slot print_timing: id  0 | task 453 | draft acceptance = 0.90278 (  325 accepted /   360 generated)
121.32.575 I slot print_timing: id  0 | task 453 | reasoning effort = medium
121.36.854 I slot print_timing: id  0 | task 454 | prompt eval time =    1066.90 ms /   559 tokens (    1.91 ms per token,   524.00 tokens per second)  [28672 cached]
121.36.854 I slot print_timing: id  0 | task 454 |        eval time =    3067.90 ms /   199 tokens (   15.42 ms per token,    64.90 tokens per second)
121.36.854 I slot print_timing: id  0 | task 454 | draft acceptance = 0.89506 (  145 accepted /   162 generated)
121.36.854 I slot print_timing: id  0 | task 454 | reasoning effort = medium
121.48.634 I slot print_timing: id  0 | task 455 | prompt eval time =     774.50 ms /   331 tokens (    2.34 ms per token,   427.30 tokens per second)  [29184 cached]
121.48.634 I slot print_timing: id  0 | task 455 |        eval time =   10867.80 ms /   757 tokens (   14.36 ms per token,    69.70 tokens per second)
121.48.634 I slot print_timing: id  0 | task 455 | draft acceptance = 0.98261 (  565 accepted /   575 generated)
121.48.634 I slot print_timing: id  0 | task 455 | reasoning effort = medium
121.51.519 I slot print_timing: id  0 | task 456 | prompt eval time =    1672.70 ms /   918 tokens (    1.82 ms per token,   548.80 tokens per second)  [29440 cached]
121.51.519 I slot print_timing: id  0 | task 456 |        eval time =    1036.30 ms /    66 tokens (   15.70 ms per token,    63.70 tokens per second)
