139.45.889 I slot print_timing: id  0 | task 528 | prompt eval time =    2553.20 ms /  1561 tokens (    1.64 ms per token,   611.40 tokens per second)  [33280 cached]
139.45.889 I slot print_timing: id  0 | task 528 |        eval time =   33050.30 ms /  1887 tokens (   17.51 ms per token,    57.10 tokens per second)
139.45.889 I slot print_timing: id  0 | task 528 | draft acceptance = 0.77497 ( 1319 accepted /  1702 generated)
139.45.889 I slot print_timing: id  0 | task 528 | reasoning effort = medium
140.09.526 I slot print_timing: id  0 | task 530 | prompt eval time =    1440.50 ms /  1006 tokens (    1.43 ms per token,   698.40 tokens per second)
140.09.526 I slot print_timing: id  0 | task 530 |        eval time =   19962.90 ms /   975 tokens (   20.47 ms per token,    48.80 tokens per second)
140.09.526 I slot print_timing: id  0 | task 530 | draft acceptance = 0.50996 (  589 accepted /  1155 generated)
140.09.526 I slot print_timing: id  0 | task 530 | reasoning effort = xhigh
140.44.756 I slot print_timing: id  0 | task 530 | prompt eval time =   27165.70 ms / 21309 tokens (    1.27 ms per token,   784.40 tokens per second)
140.44.756 I slot print_timing: id  0 | task 530 |        eval time =    8055.20 ms /   504 tokens (   15.98 ms per token,    62.60 tokens per second)
140.44.756 I slot print_timing: id  0 | task 530 | draft acceptance = 0.83333 (  360 accepted /   432 generated)
140.44.756 I slot print_timing: id  0 | task 530 | reasoning effort = medium
140.51.108 I slot print_timing: id  0 | task 531 | prompt eval time =    1608.60 ms /  1050 tokens (    1.53 ms per token,   652.70 tokens per second)  [21248 cached]
140.51.108 I slot print_timing: id  0 | task 531 |        eval time =    3957.60 ms /   282 tokens (   14.03 ms per token,    71.30 tokens per second)
140.51.108 I slot print_timing: id  0 | task 531 | draft acceptance = 1.00000 (  211 accepted /   211 generated)
140.51.108 I slot print_timing: id  0 | task 531 | reasoning effort = medium
141.34.085 I slot print_timing: id  0 | task 532 | prompt eval time =    2261.50 ms /  1462 tokens (    1.55 ms per token,   646.50 tokens per second)  [22272 cached]
141.34.085 I slot print_timing: id  0 | task 532 |        eval time =   40562.40 ms /  2422 tokens (   16.75 ms per token,    59.70 tokens per second)
141.34.085 I slot print_timing: id  0 | task 532 | draft acceptance = 0.78249 ( 1698 accepted /  2170 generated)
141.34.085 I slot print_timing: id  0 | task 532 | reasoning effort = medium
141.39.276 I slot print_timing: id  0 | task 533 | prompt eval time =    4209.20 ms /  2696 tokens (    1.56 ms per token,   640.50 tokens per second)  [23552 cached]
141.39.276 I slot print_timing: id  0 | task 533 |        eval time =     854.40 ms /    51 tokens (   16.75 ms per token,    59.70 tokens per second)
141.39.276 I slot print_timing: id  0 | task 533 | draft acceptance = 0.80000 (   36 accepted /    45 generated)
141.39.276 I slot print_timing: id  0 | task 533 | reasoning effort = medium
