145.39.991 I slot print_timing: id  0 | task 552 | prompt eval time =    1733.20 ms /  1094 tokens (    1.58 ms per token,   631.20 tokens per second)  [21248 cached]
145.39.991 I slot print_timing: id  0 | task 552 |        eval time =    3903.20 ms /   276 tokens (   14.14 ms per token,    70.70 tokens per second)
145.39.991 I slot print_timing: id  0 | task 552 | draft acceptance = 0.98565 (  206 accepted /   209 generated)
145.39.991 I slot print_timing: id  0 | task 552 | reasoning effort = medium
147.45.285 I slot print_timing: id  0 | task 553 | prompt eval time =    2353.60 ms /  1500 tokens (    1.57 ms per token,   637.30 tokens per second)  [22272 cached]
147.45.285 I slot print_timing: id  0 | task 553 |        eval time =  122784.40 ms /  7150 tokens (   17.17 ms per token,    58.20 tokens per second)
147.45.285 I slot print_timing: id  0 | task 553 | draft acceptance = 0.76814 ( 4986 accepted /  6491 generated)
147.45.285 I slot print_timing: id  0 | task 553 | reasoning effort = medium
147.58.655 I slot print_timing: id  0 | task 554 | prompt eval time =   11085.50 ms /  7407 tokens (    1.50 ms per token,   668.20 tokens per second)  [23552 cached]
147.58.655 I slot print_timing: id  0 | task 554 |        eval time =    2137.70 ms /   132 tokens (   16.19 ms per token,    61.70 tokens per second)
147.58.655 I slot print_timing: id  0 | task 554 | draft acceptance = 0.86364 (   95 accepted /   110 generated)
147.58.655 I slot print_timing: id  0 | task 554 | reasoning effort = medium
148.10.889 I slot print_timing: id  0 | task 555 | prompt eval time =     951.50 ms /   418 tokens (    2.28 ms per token,   439.30 tokens per second)  [30720 cached]
148.10.889 I slot print_timing: id  0 | task 555 |        eval time =   11138.70 ms /   772 tokens (   14.43 ms per token,    69.30 tokens per second)
148.10.889 I slot print_timing: id  0 | task 555 | draft acceptance = 0.98462 (  576 accepted /   585 generated)
148.10.889 I slot print_timing: id  0 | task 555 | reasoning effort = medium
148.15.998 I slot print_timing: id  0 | task 556 | prompt eval time =    1811.20 ms /  1019 tokens (    1.78 ms per token,   562.60 tokens per second)  [30976 cached]
148.15.998 I slot print_timing: id  0 | task 556 |        eval time =    3138.00 ms /   206 tokens (   15.23 ms per token,    65.60 tokens per second)
148.15.998 I slot print_timing: id  0 | task 556 | draft acceptance = 0.93210 (  151 accepted /   162 generated)
148.15.998 I slot print_timing: id  0 | task 556 | reasoning effort = medium
148.18.592 I slot print_timing: id  0 | task 557 | prompt eval time =    1048.10 ms /   542 tokens (    1.93 ms per token,   517.10 tokens per second)  [31744 cached]
148.18.592 I slot print_timing: id  0 | task 557 |        eval time =    1387.30 ms /    81 tokens (   17.13 ms per token,    58.40 tokens per second)
148.18.592 I slot print_timing: id  0 | task 557 | draft acceptance = 0.81429 (   57 accepted /    70 generated)
148.18.592 I slot print_timing: id  0 | task 557 | reasoning effort = medium
148.26.350 I slot print_timing: id  0 | task 558 | prompt eval time =    1229.20 ms /   617 tokens (    1.99 ms per token,   502.00 tokens per second)  [32256 cached]
148.26.350 I slot print_timing: id  0 | task 558 |        eval time =    5814.00 ms /   385 tokens (   15.10 ms per token,    66.20 tokens per second)
148.26.350 I slot print_timing: id  0 | task 558 | draft acceptance = 0.95318 (  285 accepted /   299 generated)
148.26.350 I slot print_timing: id  0 | task 558 | reasoning effort = medium
148.28.927 I slot print_timing: id  0 | task 559 | prompt eval time =    1131.20 ms /   571 tokens (    1.98 ms per token,   504.80 tokens per second)  [32768 cached]
148.28.927 I slot print_timing: id  0 | task 559 |        eval time =    1278.60 ms /    79 tokens (   16.18 ms per token,    61.80 tokens per second)
148.28.927 I slot print_timing: id  0 | task 559 | draft acceptance = 0.87692 (   57 accepted /    65 generated)
148.28.927 I slot print_timing: id  0 | task 559 | reasoning effort = medium
148.32.572 I slot print_timing: id  0 | task 560 | prompt eval time =     511.10 ms /   197 tokens (    2.59 ms per token,   385.50 tokens per second)  [33280 cached]
148.32.572 I slot print_timing: id  0 | task 560 |        eval time =    2457.80 ms /   148 tokens (   16.61 ms per token,    60.20 tokens per second)
148.32.572 I slot print_timing: id  0 | task 560 | draft acceptance = 0.86179 (  106 accepted /   123 generated)
148.32.572 I slot print_timing: id  0 | task 560 | reasoning effort = medium
148.38.904 I slot print_timing: id  0 | task 561 | prompt eval time =     964.10 ms /   400 tokens (    2.41 ms per token,   414.90 tokens per second)  [33280 cached]
148.38.904 I slot print_timing: id  0 | task 561 |        eval time =    5202.60 ms /   347 tokens (   14.99 ms per token,    66.70 tokens per second)
148.38.904 I slot print_timing: id  0 | task 561 | draft acceptance = 0.95896 (  257 accepted /   268 generated)
148.38.904 I slot print_timing: id  0 | task 561 | reasoning effort = medium
148.42.796 I slot print_timing: id  0 | task 562 | prompt eval time =    1128.00 ms /   574 tokens (    1.97 ms per token,   508.90 tokens per second)  [33536 cached]
148.42.796 I slot print_timing: id  0 | task 562 |        eval time =    2606.00 ms /   178 tokens (   14.64 ms per token,    68.30 tokens per second)
148.42.796 I slot print_timing: id  0 | task 562 | draft acceptance = 0.98519 (  133 accepted /   135 generated)
148.42.796 I slot print_timing: id  0 | task 562 | reasoning effort = medium
