70.53.551 I slot print_timing: id  0 | task 287 | prompt eval time =    1325.40 ms /   665 tokens (    1.99 ms per token,   501.70 tokens per second)  [31744 cached]
70.53.551 I slot print_timing: id  0 | task 287 |        eval time =    3189.00 ms /   179 tokens (   17.82 ms per token,    56.10 tokens per second)
70.53.551 I slot print_timing: id  0 | task 287 | draft acceptance = 0.73214 (  123 accepted /   168 generated)
70.53.551 I slot print_timing: id  0 | task 287 | reasoning effort = medium
70.56.997 I slot print_timing: id  0 | task 288 | prompt eval time =     947.30 ms /   386 tokens (    2.45 ms per token,   407.50 tokens per second)  [32256 cached]
70.56.997 I slot print_timing: id  0 | task 288 |        eval time =    2356.60 ms /   156 tokens (   15.11 ms per token,    66.20 tokens per second)
70.56.997 I slot print_timing: id  0 | task 288 | draft acceptance = 0.95041 (  115 accepted /   121 generated)
70.56.997 I slot print_timing: id  0 | task 288 | reasoning effort = medium
71.08.491 I slot print_timing: id  0 | task 289 | prompt eval time =     898.20 ms /   370 tokens (    2.43 ms per token,   411.90 tokens per second)  [32512 cached]
71.08.491 I slot print_timing: id  0 | task 289 |        eval time =   10438.60 ms /   691 tokens (   15.11 ms per token,    66.20 tokens per second)
71.08.491 I slot print_timing: id  0 | task 289 | draft acceptance = 0.94096 (  510 accepted /   542 generated)
71.08.491 I slot print_timing: id  0 | task 289 | reasoning effort = medium
71.11.337 I slot print_timing: id  0 | task 290 | prompt eval time =    1643.70 ms /   889 tokens (    1.85 ms per token,   540.90 tokens per second)  [32768 cached]
71.11.337 I slot print_timing: id  0 | task 290 |        eval time =    1040.10 ms /    66 tokens (   15.76 ms per token,    63.50 tokens per second)
71.11.337 I slot print_timing: id  0 | task 290 | draft acceptance = 0.88889 (   48 accepted /    54 generated)
71.11.337 I slot print_timing: id  0 | task 290 | reasoning effort = medium
71.15.496 I slot print_timing: id  0 | task 291 | prompt eval time =     535.80 ms /   247 tokens (    2.17 ms per token,   461.00 tokens per second)  [33536 cached]
71.15.496 I slot print_timing: id  0 | task 291 |        eval time =    2961.90 ms /   174 tokens (   17.02 ms per token,    58.70 tokens per second)
71.15.496 I slot print_timing: id  0 | task 291 | draft acceptance = 0.80392 (  123 accepted /   153 generated)
71.15.496 I slot print_timing: id  0 | task 291 | reasoning effort = medium
71.17.895 I slot print_timing: id  0 | task 292 | prompt eval time =    1072.80 ms /   477 tokens (    2.25 ms per token,   444.60 tokens per second)  [33536 cached]
71.17.895 I slot print_timing: id  0 | task 292 |        eval time =    1174.00 ms /    65 tokens (   18.06 ms per token,    55.40 tokens per second)
71.17.895 I slot print_timing: id  0 | task 292 | draft acceptance = 0.77586 (   45 accepted /    58 generated)
71.17.895 I slot print_timing: id  0 | task 292 | reasoning effort = medium
71.39.367 I slot print_timing: id  0 | task 293 | prompt eval time =    2594.60 ms /  1578 tokens (    1.64 ms per token,   608.20 tokens per second)  [33792 cached]
71.39.367 I slot print_timing: id  0 | task 293 |        eval time =   18717.00 ms /  1082 tokens (   17.30 ms per token,    57.80 tokens per second)
71.39.367 I slot print_timing: id  0 | task 293 | draft acceptance = 0.78328 (  759 accepted /   969 generated)
71.39.367 I slot print_timing: id  0 | task 293 | reasoning effort = medium
72.06.432 I slot print_timing: id  0 | task 294 | prompt eval time =    2636.30 ms /  1590 tokens (    1.66 ms per token,   603.10 tokens per second)  [35328 cached]
72.06.432 I slot print_timing: id  0 | task 294 |        eval time =   23589.90 ms /  1310 tokens (   18.01 ms per token,    55.50 tokens per second)
72.06.432 I slot print_timing: id  0 | task 294 | draft acceptance = 0.75687 (  909 accepted /  1201 generated)
72.06.432 I slot print_timing: id  0 | task 294 | reasoning effort = medium
72.35.010 I slot print_timing: id  0 | task 296 | prompt eval time =    1454.40 ms /  1004 tokens (    1.45 ms per token,   690.30 tokens per second)
72.35.010 I slot print_timing: id  0 | task 296 |        eval time =   24918.20 ms /  1476 tokens (   16.88 ms per token,    59.20 tokens per second)
72.35.010 I slot print_timing: id  0 | task 296 | draft acceptance = 0.69215 (  996 accepted /  1439 generated)
72.35.010 I slot print_timing: id  0 | task 296 | reasoning effort = xhigh
73.10.259 I slot print_timing: id  0 | task 296 | prompt eval time =   27200.40 ms / 21301 tokens (    1.28 ms per token,   783.10 tokens per second)
73.10.259 I slot print_timing: id  0 | task 296 |        eval time =    8039.40 ms /   511 tokens (   15.73 ms per token,    63.60 tokens per second)
73.10.259 I slot print_timing: id  0 | task 296 | draft acceptance = 0.85349 (  367 accepted /   430 generated)
73.10.259 I slot print_timing: id  0 | task 296 | reasoning effort = medium
73.16.497 I slot print_timing: id  0 | task 297 | prompt eval time =    1642.60 ms /  1049 tokens (    1.57 ms per token,   638.60 tokens per second)  [21248 cached]
73.16.497 I slot print_timing: id  0 | task 297 |        eval time =    3752.40 ms /   270 tokens (   13.90 ms per token,    72.00 tokens per second)
73.16.497 I slot print_timing: id  0 | task 297 | draft acceptance = 1.00000 (  202 accepted /   202 generated)
